"","original_domain","original_phylum","original_class","original_order","original_family","original_genus","original_species","original_lowest","original_taxonomy","domain","phylum","class","order","family","genus","species","lowest","taxonomy"
"MAG151","Bacteria","Firmicutes","Bacilli","RF39","CAG-611","CAG-877",NA,"g__CAG-877","d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-611;g__CAG-877;s__","Bacteria","Bacillota_I","Bacilli_A","RF39","UBA660","CAG-877","CAG-877 sp934157235","s__CAG-877 sp934157235","d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAG-877;s__CAG-877 sp934157235"
"MAG152","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","Eubacterium_R",NA,"g__Eubacterium_R","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__","Bacteria","Bacillota_A","Clostridia","Oscillospirales","Acutalibacteraceae","Eubacterium_R","Eubacterium_R sp945980375","s__Eubacterium_R sp945980375","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp945980375"
"MAG153","Bacteria","Cyanobacteria","Vampirovibrionia","Gastranaerophilales","Gastranaerophilaceae","UBA2883",NA,"g__UBA2883","d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__UBA2883;s__","Bacteria","Cyanobacteriota","Vampirovibrionia","Gastranaerophilales","Gastranaerophilaceae","UBA2883","UBA2883 sp900768915","s__UBA2883 sp900768915","d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__UBA2883;s__UBA2883 sp900768915"
"MAG154","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","CAG-882",NA,"g__CAG-882","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-882;s__","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","CAG-882","CAG-882 sp945836135","s__CAG-882 sp945836135","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-882;s__CAG-882 sp945836135"
"MAG155","Bacteria","Firmicutes","Bacilli","RF39","CAG-611","CAG-611",NA,"g__CAG-611","d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-611;g__CAG-611;s__","Bacteria","Bacillota_I","Bacilli_A","RF39","UBA660","CAG-611","CAG-611 sp934098705","s__CAG-611 sp934098705","d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAG-611;s__CAG-611 sp934098705"
"MAG156","Bacteria","Firmicutes","Bacilli","RF39","CAG-1000","CAG-1000",NA,"g__CAG-1000","d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-1000;g__CAG-1000;s__","Bacteria","Bacillota_I","Bacilli_A","RF39","UBA660","CAG-1000","CAG-1000 sp004552445","s__CAG-1000 sp004552445","d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAG-1000;s__CAG-1000 sp004552445"
"MAG157","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter",NA,"g__Agathobacter","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter","Agathobacter sp022775045","s__Agathobacter sp022775045","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter sp022775045"
"MAG158","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Coprococcus_B",NA,"g__Coprococcus_B","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus_B;s__","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Bariatricus","Bariatricus sp004560705","s__Bariatricus sp004560705","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Bariatricus;s__Bariatricus sp004560705"
"MAG159","Bacteria","Spirochaetota","Spirochaetia","Treponematales","Treponemataceae","Treponema_D","Treponema_D succinifaciens","s__Treponema_D succinifaciens","d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__Treponema_D succinifaciens","Bacteria","Spirochaetota","Spirochaetia","Treponematales","Treponemataceae","Treponema_D","Treponema_D succinifaciens","s__Treponema_D succinifaciens","d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__Treponema_D succinifaciens"
"MAG160","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","CAG-882",NA,"g__CAG-882","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-882;s__","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","CAG-882","CAG-882 sp958446835","s__CAG-882 sp958446835","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-882;s__CAG-882 sp958446835"
"MAG161","Bacteria","Firmicutes_A","Clostridia","4C28d-15","CAG-917","CAG-349","CAG-349 sp003539515","s__CAG-349 sp003539515","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__4C28d-15;f__CAG-917;g__CAG-349;s__CAG-349 sp003539515","Bacteria","Bacillota_A","Clostridia","Christensenellales","CAG-917","CAG-349","CAG-349 sp003539515","s__CAG-349 sp003539515","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-917;g__CAG-349;s__CAG-349 sp003539515"
"MAG162","Bacteria","Spirochaetota","Spirochaetia","Treponematales","Treponemataceae","Treponema_D",NA,"g__Treponema_D","d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__","Bacteria","Spirochaetota","Spirochaetia","Treponematales","Treponemataceae","Treponema_D","Treponema_D sp016293645","s__Treponema_D sp016293645","d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__Treponema_D sp016293645"
"MAG163","Bacteria","Firmicutes","Bacilli","RF39","CAG-302","UBA6414",NA,"g__UBA6414","d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-302;g__UBA6414;s__","Bacteria","Bacillota_I","Bacilli_A","RF39","UBA660","UBA6414","UBA6414 sp934130545","s__UBA6414 sp934130545","d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__UBA6414;s__UBA6414 sp934130545"
"MAG164","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-170","CAG-170 sp002404795","s__CAG-170 sp002404795","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp002404795","Bacteria","Bacillota_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-170","CAG-170 sp002404795","s__CAG-170 sp002404795","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp002404795"
"MAG165","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotellamassilia",NA,"g__Prevotellamassilia","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotellamassilia;s__","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Alloprevotella","Alloprevotella sp004552865","s__Alloprevotella sp004552865","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella sp004552865"
"MAG166","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","UBA1448",NA,"g__UBA1448","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1448;s__","Bacteria","Bacillota_A","Clostridia","Oscillospirales","Ruminococcaceae","Faecivivens","Faecivivens sp022770625","s__Faecivivens sp022770625","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecivivens;s__Faecivivens sp022770625"
"MAG167","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","UBA2882","UBA2882 sp900317505","s__UBA2882 sp900317505","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA2882;s__UBA2882 sp900317505","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","UBA2882","UBA2882 sp900317505","s__UBA2882 sp900317505","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA2882;s__UBA2882 sp900317505"
"MAG168","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","CAG-590","CAG-590 sp003530125","s__CAG-590 sp003530125","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-590;s__CAG-590 sp003530125","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","CAG-590","CAG-590 sp003530125","s__CAG-590 sp003530125","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-590;s__CAG-590 sp003530125"
"MAG169","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae",NA,NA,"f__Ruminococcaceae","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__;s__","Bacteria","Bacillota_A","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus_C","Ruminococcus_C sp022769365","s__Ruminococcus_C sp022769365","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C;s__Ruminococcus_C sp022769365"
"MAG170","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella sp000436915","s__Prevotella sp000436915","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp000436915","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella sp000436915","s__Prevotella sp000436915","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp000436915"
"MAG171","Bacteria","Firmicutes","Bacilli","RF39","CAG-1000","CAG-605","CAG-605 sp000433255","s__CAG-605 sp000433255","d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-1000;g__CAG-605;s__CAG-605 sp000433255","Bacteria","Bacillota_I","Bacilli_A","RF39","UBA660","CAG-605","CAG-605 sp000433255","s__CAG-605 sp000433255","d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAG-605;s__CAG-605 sp000433255"
"MAG172","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","UBA1777",NA,"g__UBA1777","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA1777;s__","Bacteria","Bacillota_A","Clostridia","Oscillospirales","Oscillospiraceae","Limivicinus","Limivicinus sp900549645","s__Limivicinus sp900549645","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__Limivicinus sp900549645"
"MAG173","Bacteria","Firmicutes","Bacilli","RFN20","CAG-288",NA,NA,"f__CAG-288","d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-288;g__;s__","Bacteria","Bacillota_I","Bacilli_A","RFN20","CAG-288","HGM10890","HGM10890 sp900769965","s__HGM10890 sp900769965","d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RFN20;f__CAG-288;g__HGM10890;s__HGM10890 sp900769965"
"MAG174","Bacteria","Cyanobacteria","Vampirovibrionia","Gastranaerophilales","Gastranaerophilaceae","Zag1","Zag1 sp001765415","s__Zag1 sp001765415","d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Zag1;s__Zag1 sp001765415","Bacteria","Cyanobacteriota","Vampirovibrionia","Gastranaerophilales","Gastranaerophilaceae","Stercorousia","Stercorousia sp001765415","s__Stercorousia sp001765415","d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Stercorousia;s__Stercorousia sp001765415"
"MAG175","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,"g__Lactobacillus","d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus delbrueckii_B","s__Lactobacillus delbrueckii_B","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus delbrueckii_B"
"MAG176","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","CAG-245",NA,"g__CAG-245","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-245;s__","Bacteria","Bacillota_A","Clostridia","TANB77","CAG-508","CAG-245","CAG-245 sp945946655","s__CAG-245 sp945946655","d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-245;s__CAG-245 sp945946655"
"MAG177","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Atopobiaceae",NA,NA,"f__Atopobiaceae","d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__;s__","Bacteria","Actinomycetota","Coriobacteriia","Coriobacteriales","Atopobiaceae","CAKVON01","CAKVON01 sp902475665","s__CAKVON01 sp902475665","d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__CAKVON01;s__CAKVON01 sp902475665"
"MAG178","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","CAG-245","CAG-245 sp000435175","s__CAG-245 sp000435175","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-245;s__CAG-245 sp000435175","Bacteria","Bacillota_A","Clostridia","TANB77","CAG-508","CAG-245","CAG-245 sp000435175","s__CAG-245 sp000435175","d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-245;s__CAG-245 sp000435175"
"MAG179","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter","Agathobacter sp900317585","s__Agathobacter sp900317585","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter sp900317585","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter","Agathobacter sp900317585","s__Agathobacter sp900317585","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter sp900317585"
"MAG180","Bacteria","Firmicutes","Bacilli","RF39","CAG-611","CAG-877",NA,"g__CAG-877","d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-611;g__CAG-877;s__","Bacteria","Bacillota_I","Bacilli_A","RF39","UBA660","RUG14891",NA,"g__RUG14891","d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__RUG14891;s__"
"MAG181","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Eubacterium_F",NA,"g__Eubacterium_F","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F;s__","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Eubacterium_F",NA,"g__Eubacterium_F","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F;s__"
"MAG182","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-103","CAG-103 sp900317855","s__CAG-103 sp900317855","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp900317855","Bacteria","Bacillota_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-103","CAG-103 sp934589185","s__CAG-103 sp934589185","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp934589185"
"MAG183","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella sp900315635","s__Prevotella sp900315635","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900315635","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella sp900315635","s__Prevotella sp900315635","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900315635"
"MAG184","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Campylobacteraceae","Campylobacter",NA,"g__Campylobacter","d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","Campylobacter sp945873855","s__Campylobacter sp945873855","d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter sp945873855"
"MAG185","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-110",NA,"g__CAG-110","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-110;s__","Bacteria","Bacillota_A","Clostridia","Oscillospirales","Oscillospiraceae","Faecousia","Faecousia sp016296045","s__Faecousia sp016296045","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp016296045"
"MAG186","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Acetatifactor",NA,"g__Acetatifactor","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Acetatifactor","Acetatifactor sp022769665","s__Acetatifactor sp022769665","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp022769665"
"MAG187","Bacteria","Firmicutes","Bacilli","RFN20","CAG-288","UBA7642",NA,"g__UBA7642","d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-288;g__UBA7642;s__","Bacteria","Bacillota_I","Bacilli_A","RFN20","CAG-288","Enterosoma","Enterosoma sp900763245","s__Enterosoma sp900763245","d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RFN20;f__CAG-288;g__Enterosoma;s__Enterosoma sp900763245"
"MAG188","Bacteria","Firmicutes","Bacilli","RFN20","CAG-826",NA,NA,"f__CAG-826","d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-826;g__;s__","Bacteria","Bacillota_I","Bacilli_A","RFN20","CAG-826",NA,NA,"f__CAG-826","d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RFN20;f__CAG-826;g__;s__"
"MAG189","Bacteria","Spirochaetota","Spirochaetia","Treponematales","Treponemataceae","Treponema_D","Treponema_D berlinense","s__Treponema_D berlinense","d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__Treponema_D berlinense","Bacteria","Spirochaetota","Spirochaetia","Treponematales","Treponemataceae","Treponema_D","Treponema_D berlinense","s__Treponema_D berlinense","d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__Treponema_D berlinense"
"MAG190","Bacteria","Firmicutes","Bacilli","Mycoplasmatales","Metamycoplasmataceae","UBA710",NA,"g__UBA710","d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales;f__Metamycoplasmataceae;g__UBA710;s__","Bacteria","Bacillota_I","Bacilli_A","Mycoplasmatales","Metamycoplasmataceae","UBA710",NA,"g__UBA710","d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Mycoplasmatales;f__Metamycoplasmataceae;g__UBA710;s__"
"MAG191","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella sp000434515","s__Prevotella sp000434515","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp000434515","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella sp945863825","s__Prevotella sp945863825","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp945863825"
"MAG192","Bacteria","Firmicutes","Bacilli","RFN20","CAG-288","UBA7642",NA,"g__UBA7642","d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-288;g__UBA7642;s__","Bacteria","Bacillota_I","Bacilli_A","RFN20","CAG-288","Enterosoma","Enterosoma sp022774485","s__Enterosoma sp022774485","d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RFN20;f__CAG-288;g__Enterosoma;s__Enterosoma sp022774485"
"MAG193","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","UBA1777",NA,"g__UBA1777","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA1777;s__","Bacteria","Bacillota_A","Clostridia","Oscillospirales","Oscillospiraceae","Limivicinus","Limivicinus sp022782265","s__Limivicinus sp022782265","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__Limivicinus sp022782265"
"MAG194","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","Eubacterium_R",NA,"g__Eubacterium_R","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__","Bacteria","Bacillota_A","Clostridia","Oscillospirales","Acutalibacteraceae","Eubacterium_R","Eubacterium_R sp022772725","s__Eubacterium_R sp022772725","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp022772725"
"MAG195","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","CAG-521",NA,"g__CAG-521","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__CAG-521;s__","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Aphodousia","Aphodousia faecipullorum","s__Aphodousia faecipullorum","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Aphodousia;s__Aphodousia faecipullorum"
"MAG196","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella sp002299275","s__Prevotella sp002299275","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp002299275","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella sp002299275","s__Prevotella sp002299275","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp002299275"
"MAG197","Bacteria","Proteobacteria","Alphaproteobacteria","RF32","CAG-239","CAG-495",NA,"g__CAG-495","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__CAG-495;s__","Bacteria","Pseudomonadota","Alphaproteobacteria","RF32","CAG-239","CAZU01","CAZU01 sp934271465","s__CAZU01 sp934271465","d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__CAZU01;s__CAZU01 sp934271465"
"MAG198","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella",NA,"g__Prevotella","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella sp004557285","s__Prevotella sp004557285","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp004557285"
"MAG199","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter_A",NA,"g__Methanobrevibacter_A","d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__","Archaea","Methanobacteriota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter_A","Methanobrevibacter_A sp022775905","s__Methanobrevibacter_A sp022775905","d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A sp022775905"
"MAG200","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508",NA,NA,"f__CAG-508","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__;s__","Bacteria","Bacillota_A","Clostridia","TANB77","CAG-508","HGM13634","HGM13634 sp934162365","s__HGM13634 sp934162365","d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__HGM13634;s__HGM13634 sp934162365"
"MAG201","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Blautia_A",NA,"g__Blautia_A","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Blautia_A","Blautia_A sp018919065","s__Blautia_A sp018919065","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp018919065"
"MAG202","Bacteria","Cyanobacteria","Vampirovibrionia","Gastranaerophilales","Gastranaerophilaceae","UBA791",NA,"g__UBA791","d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__UBA791;s__","Bacteria","Cyanobacteriota","Vampirovibrionia","Gastranaerophilales","Gastranaerophilaceae","UBA791","UBA791 sp934693165","s__UBA791 sp934693165","d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__UBA791;s__UBA791 sp934693165"
